ACCESSION NUMBER,CONFORMED SUBMISSION TYPE,PUBLIC DOCUMENT COUNT,CONFORMED PERIOD OF REPORT,FILED AS OF DATE,DATE AS OF CHANGE,REPORTING-OWNER,REPORTING-OWNER_OWNER_DATA,REPORTING-OWNER_COMPANY_CONFORMED_NAME,REPORTING-OWNER_CENTRAL_INDEX_KEY,REPORTING-OWNER_FILING_VALUES,REPORTING-OWNER_FORM_TYPE,REPORTING-OWNER_SEC_ACT,REPORTING-OWNER_SEC_FILE_NUMBER,REPORTING-OWNER_FILM_NUMBER,REPORTING-OWNER_MAIL_ADDRESS,REPORTING-OWNER_STREET_1,REPORTING-OWNER_STREET_2,REPORTING-OWNER_CITY,REPORTING-OWNER_STATE,REPORTING-OWNER_ZIP,ISSUER,ISSUER_COMPANY_DATA,ISSUER_COMPANY_CONFORMED_NAME,ISSUER_CENTRAL_INDEX_KEY,ISSUER_STANDARD_INDUSTRIAL_CLASSIFICATION,ISSUER_IRS_NUMBER,ISSUER_STATE_OF_INCORPORATION,ISSUER_FISCAL_YEAR_END,ISSUER_BUSINESS_ADDRESS,ISSUER_STREET_1,ISSUER_STREET_2,ISSUER_CITY,ISSUER_STATE,ISSUER_ZIP,ISSUER_BUSINESS_PHONE,ISSUER_MAIL_ADDRESS,ISSUER_FORMER_COMPANY,ISSUER_FORMER_CONFORMED_NAME,ISSUER_DATE_OF_NAME_CHANGE,ITEM INFORMATION,EFFECTIVENESS DATE,FILER,FILER_COMPANY_DATA,FILER_COMPANY_CONFORMED_NAME,FILER_CENTRAL_INDEX_KEY,FILER_IRS_NUMBER,FILER_STATE_OF_INCORPORATION,FILER_FISCAL_YEAR_END,FILER_FILING_VALUES,FILER_FORM_TYPE,FILER_SEC_ACT,FILER_SEC_FILE_NUMBER,FILER_FILM_NUMBER,FILER_BUSINESS_ADDRESS,FILER_STREET_1,FILER_CITY,FILER_STATE,FILER_ZIP,FILER_BUSINESS_PHONE,FILER_MAIL_ADDRESS,REPORTING-OWNER_BUSINESS_ADDRESS,REPORTING-OWNER_BUSINESS_PHONE,REPORTING-OWNER_STATE_OF_INCORPORATION,REPORTING-OWNER_FISCAL_YEAR_END,GROUP MEMBERS,SUBJECT COMPANY,SUBJECT_COMPANY_COMPANY_DATA,SUBJECT_COMPANY_COMPANY_CONFORMED_NAME,SUBJECT_COMPANY_CENTRAL_INDEX_KEY,SUBJECT_COMPANY_STANDARD_INDUSTRIAL_CLASSIFICATION,SUBJECT_COMPANY_IRS_NUMBER,SUBJECT_COMPANY_FISCAL_YEAR_END,SUBJECT_COMPANY_FILING_VALUES,SUBJECT_COMPANY_FORM_TYPE,SUBJECT_COMPANY_SEC_ACT,SUBJECT_COMPANY_SEC_FILE_NUMBER,SUBJECT_COMPANY_FILM_NUMBER,SUBJECT_COMPANY_BUSINESS_ADDRESS,SUBJECT_COMPANY_STREET_1,SUBJECT_COMPANY_CITY,SUBJECT_COMPANY_STATE,SUBJECT_COMPANY_ZIP,SUBJECT_COMPANY_BUSINESS_PHONE,SUBJECT_COMPANY_MAIL_ADDRESS,SUBJECT_COMPANY_FORMER_COMPANY,SUBJECT_COMPANY_FORMER_CONFORMED_NAME,SUBJECT_COMPANY_DATE_OF_NAME CHANGE,FILED BY,FILED_BY_COMPANY_DATA,FILED_BY_COMPANY_CONFORMED_NAME,FILED_BY_CENTRAL_INDEX_KEY,FILED_BY_FILING_VALUES,FILED_BY_FORM_TYPE,FILED_BY_MAIL_ADDRESS,FILED_BY_STREET_1,FILED_BY_CITY,FILED_BY_STATE,FILED_BY_ZIP,SUBJECT_COMPANY_STATE_OF_INCORPORATION,SUBJECT_COMPANY_STREET_2,FILED_BY_IRS_NUMBER,FILED_BY_STATE_OF_INCORPORATION,FILED_BY_FISCAL_YEAR_END,FILED_BY_BUSINESS_ADDRESS,FILED_BY_BUSINESS_PHONE,FILER_STANDARD_INDUSTRIAL_CLASSIFICATION,FILER_FORMER_COMPANY,FILER_FORMER_CONFORMED_NAME,FILER_DATE_OF_NAME_CHANGE,FILER_STREET_2,FILED_BY_STANDARD_INDUSTRIAL_CLASSIFICATION,FILED_BY_STREET_2,FILED_BY_FORMER_COMPANY,FILED_BY_FORMER_CONFORMED_NAME,FILED_BY_DATE_OF_NAME CHANGE
0001096906-20-000412,253G2,2,,20201203,20201202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cityzenith Holdings, Inc.",0001778262,264787600,DE,1231,,253G2,1933 Act,024-11170,201365030,,2506 NORTH CLARK STREET,CHICAGO,IL,60614,312-282-2900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SERVICES-PREPACKAGED SOFTWARE [7372],,,,,,,,,
0001590584-20-000144,4,1,20201201,20201203,20201203,,,Dodson Bradley J,0001363974,,4,1934 Act,001-36246,201366158,,333 CLAY STREET,SUITE 4980,HOUSTON,TX,77002,,,Civeo Corp,0001590584,"HOTELS, ROOMING HOUSE, CAMPS & OTHER LODGING PLACES [7000]",463831207,A1,1231,,THREE ALLEN CENTER,"333 CLAY STREET, SUITE 4980",HOUSTON,TX,77002,(713) 510-2400,,,OIS Accommodations SpinCo Inc.,20131030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0001209191-20-061519,4,1,20201202,20201203,20201203,,,Clagett Robert Yates,0001633530,,4,1934 Act,001-33037,201367517,,17017 RIVER AIRPORT ROAD,,BRANDYWINE,MD,20613,,,Southern National Bancorp of Virginia Inc,0001325670,STATE COMMERCIAL BANKS [6022],201417448,VA,1231,,1770 TIMBERWOOD BOULEVARD,SUITE 100,CHARLOTTESVILLE,VA,22911,(434) 973-5242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0001415889-20-002786,4,1,20201201,20201203,20201203,,,Clarke Michael W,0001292911,,4,1934 Act,001-39325,201366582,,C/O ACCESS NATIONAL CORPORATION,"1800 ROBERT FULTON DRIVE, SUITE 300",RESTON,VA,20191,,,Atlantic Union Bankshares Corp,0000883948,STATE COMMERCIAL BANKS [6022],540412820,VA,1231,,1051 EAST CARY STREET,SUITE 1200,RICHMOND,VA,23219,800-990-4828,,,Union Bankshares Corp,20140424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0001593968-20-002316,4,1,20201202,20201203,20201203,,,Clarkson J. Palmer,0001705595,,4,1934 Act,001-11288,201368351,,1000 CONSOL ENERGY DRIVE,,CANONSBURG,PA,15317,,,ENERPAC TOOL GROUP CORP,0000006955,MISC INDUSTRIAL & COMMERCIAL MACHINERY & EQUIPMENT [3590],390168610,WI,0831,,ATTN,N86 W12500 WESTBROOK CROSSING,MENOMONEE FALLS,WI,53051,262-293-1697,,,APPLIED POWER INDUSTRIES INC,19730123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0001179110-20-011652,4,1,20201201,20201203,20201203,,,Ford Brian R.,0001458874,,4,1934 Act,001-36002,201367741,,1 MILFORD WAY,,MEDFORD,NJ,08055,,,"Clearway Energy, Inc.",0001567683,ELECTRIC SERVICES [4911],461777204,DE,1231,,"300 CARNEGIE CENTER, SUITE 300",,PRINCETON,NJ,08540,609-608-1525,,,"NRG Yieldco, Inc.",20130123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0001179110-20-011653,4,1,20201201,20201203,20201203,,,MCCLEAN FERRELL P,0001168551,,4,1934 Act,001-36002,201367744,,GRAFTECH INTERNATIONAL LTD.,12900 SNOW ROAD,PARMA,OH,44130,,,"Clearway Energy, Inc.",0001567683,ELECTRIC SERVICES [4911],461777204,DE,1231,,"300 CARNEGIE CENTER, SUITE 300",,PRINCETON,NJ,08540,609-608-1525,,,"NRG Yieldco, Inc.",20130123,,,,,,,,,,,,,,,,,,,,,,,2166762281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0001179110-20-011654,4,1,20201201,20201203,20201203,,,More Daniel B.,0001639398,,4,1934 Act,001-36002,201367747,,56 W BROTHER DRIVE,,GREENWICH,CT,06830,,,"Clearway Energy, Inc.",0001567683,ELECTRIC SERVICES [4911],461777204,DE,1231,,"300 CARNEGIE CENTER, SUITE 300",,PRINCETON,NJ,08540,609-608-1525,,,"NRG Yieldco, Inc.",20130123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0001179110-20-011655,4,1,20201201,20201203,20201203,,,ONEAL E STANLEY,0001182337,,4,1934 Act,001-36002,201367752,,MERRILL LYNCH CORPORATE SECRETARY,"222 BROADWAY, 17TH FLOOR",NEW YORK,NY,10038,,,"Clearway Energy, Inc.",0001567683,ELECTRIC SERVICES [4911],461777204,DE,1231,,"300 CARNEGIE CENTER, SUITE 300",,PRINCETON,NJ,08540,609-608-1525,,,"NRG Yieldco, Inc.",20130123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0001179110-20-011656,4,1,20201201,20201203,20201203,,,Malcarney Kevin P.,0001738590,,4,1934 Act,001-36002,201367754,,804 CARNEGIE CENTER,,PRINCETON,NJ,08540,,,"Clearway Energy, Inc.",0001567683,ELECTRIC SERVICES [4911],461777204,DE,1231,,"300 CARNEGIE CENTER, SUITE 300",,PRINCETON,NJ,08540,609-608-1525,,,"NRG Yieldco, Inc.",20130123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0001179110-20-011657,4,1,20201201,20201203,20201203,,,Plotkin Chad,0001685648,,4,1934 Act,001-36002,201367756,,"NRG YIELD, INC.",804 CARNEGIE CENTER,PRINCETON,NJ,08540,,,"Clearway Energy, Inc.",0001567683,ELECTRIC SERVICES [4911],461777204,DE,1231,,"300 CARNEGIE CENTER, SUITE 300",,PRINCETON,NJ,08540,609-608-1525,,,"NRG Yieldco, Inc.",20130123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0001179110-20-011658,4,1,20201201,20201203,20201203,,,Sotos Christopher S,0001578991,,4,1934 Act,001-36002,201367759,,211 CARNEGIE CENTER,,PRINCETON,NJ,08540,,,"Clearway Energy, Inc.",0001567683,ELECTRIC SERVICES [4911],461777204,DE,1231,,"300 CARNEGIE CENTER, SUITE 300",,PRINCETON,NJ,08540,609-608-1525,,,"NRG Yieldco, Inc.",20130123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0001179110-20-011659,4,1,20201201,20201203,20201203,,,Rubenstein Sarah,0001829270,,4,1934 Act,001-36002,201367762,,300 CARNEGIE CENTER,SUITE 300,PRINCETON,NJ,08540,,,"Clearway Energy, Inc.",0001567683,ELECTRIC SERVICES [4911],461777204,DE,1231,,"300 CARNEGIE CENTER, SUITE 300",,PRINCETON,NJ,08540,609-608-1525,,,"NRG Yieldco, Inc.",20130123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0001723292-20-000002,D/A,1,,20201203,20201203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<ITEMS>06b,20201203,,,"Cleo Labs, Inc.",0001723292,811067638,DE,1231,,D/A,1933 Act,021-336534,201366348,,399 WEBSTER STREET,SAN FRANCISCO,CA,94117,(415) 935-1009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Instacare Group, Inc.",20171120,,,,,,
0001127602-20-030440,3,1,20201201,20201203,20201203,,,Click Christopher A,0001831593,,3,1934 Act,001-35914,201367482,,200 PEACH ST,,EL DORADO,AR,71731,,,Murphy USA Inc.,0001573516,RETAIL-AUTO DEALERS & GASOLINE STATIONS [5500],462279221,DE,1231,,200 PEACH STREET,,EL DORADO,AR,71730-5836,(870) 875-7600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
